,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
72,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Columbus,Daily,10,1
73,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Columbus East,Daily,8,1
74,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Columbus East,Daily,9,1
75,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Columbus East,Daily,10,1
76,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Dayton,Daily,8,1
77,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Dayton,Daily,9,1
78,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Dayton,Daily,10,1
79,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Huntington,Daily,8,1
80,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Huntington,Daily,9,1
81,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Huntington,Daily,10,1
82,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Owosso,Daily,8,1
83,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Owosso,Daily,9,1
84,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Owosso,Daily,10,1
85,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,SUNOCO PITTSBURGH,Daily,8,1
86,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,SUNOCO PITTSBURGH,Daily,9,1
87,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,SUNOCO PITTSBURGH,Daily,10,1
88,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,SUNOCO ROMULUS,Daily,8,1
89,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,SUNOCO ROMULUS,Daily,9,1
90,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,SUNOCO ROMULUS,Daily,10,1
91,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Sunoco Youngstown,Daily,8,1
92,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Sunoco Youngstown,Daily,9,1
93,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Sunoco Youngstown,Daily,10,1
94,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Teppco Lebanon,Daily,8,1
95,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Teppco Lebanon,Daily,9,1
96,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Teppco Lebanon,Daily,10,1
97,0.0,,0.0,2015-06-01 02:06:32,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,1,1
98,0.0,,0.0,2015-06-01 05:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,2,1
99,0.0,,0.0,2015-06-01 07:06:25,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,3,1
100,0.0,,0.0,2015-06-01 09:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,4,1
101,0.0,,0.0,2015-06-01 11:06:53,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,5,1
102,0.0,,0.0,2015-06-01 13:06:29,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,6,1
103,0.0,,0.0,2015-06-01 15:06:35,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,7,1
104,0.0,,0.0,2015-06-01 17:07:01,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,8,1
105,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,9,1
106,0.0,,0.0,2015-06-01 22:06:34,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BORDEAUX TN TERM,Daily,10,1
107,0.0,,0.0,2015-06-01 19:06:27,MPC,87 GHL 10% ETH,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,BRECKSVILLE OH TERM,Daily,9,1
