,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
65,0.0,0.0,0.0,2015-06-01 13:01:09,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,6,0
66,0.0,0.0,0.0,2015-06-01 15:01:05,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,7,0
67,0.0,0.0,0.0,2015-06-01 17:01:06,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,8,0
68,0.0,0.0,0.0,2015-06-01 19:01:07,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,9,0
69,0.0,0.0,0.0,2015-06-01 22:01:09,Murphy,89 MID E10,Unbranded,Freeport FL (22) - Murphy,Weekly,10,0
70,4615.0,4615.0,0.0,2015-06-01 02:03:32,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,1,1
71,4615.0,4615.0,0.0,2015-06-01 05:03:34,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,2,0
72,4615.0,4615.0,0.0,2015-06-01 07:03:35,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,3,0
73,4615.0,4615.0,0.0,2015-06-01 09:03:37,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,4,0
74,4615.0,4615.0,0.0,2015-06-01 11:03:53,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,5,0
75,4615.0,4615.0,0.0,2015-06-01 13:03:39,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,6,0
76,4615.0,4615.0,0.0,2015-06-01 15:03:40,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,7,0
77,4615.0,4615.0,0.0,2015-06-01 17:03:56,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,8,0
78,4615.0,4615.0,0.0,2015-06-01 19:03:37,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,9,0
79,4615.0,4615.0,0.0,2015-06-01 22:03:44,Husky,93 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,10,0
80,364000.0,400400.0,208313.0,2015-06-01 02:01:07,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,1,1
81,364000.0,400400.0,208313.0,2015-06-01 05:01:09,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,2,0
82,364000.0,400400.0,215712.0,2015-06-01 07:01:05,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,3,1
83,364000.0,400400.0,215712.0,2015-06-01 09:01:07,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,4,0
84,364000.0,400400.0,223012.0,2015-06-01 11:01:08,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,5,1
85,364000.0,400400.0,223012.0,2015-06-01 13:01:09,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,6,0
86,364000.0,400400.0,223012.0,2015-06-01 15:01:05,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,7,0
87,364000.0,400400.0,230612.0,2015-06-01 17:01:06,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,8,1
88,364000.0,400400.0,238212.0,2015-06-01 19:01:07,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,9,1
89,364000.0,400400.0,260614.0,2015-06-01 22:01:09,P66,B11,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,10,1
90,364000.0,400400.0,278601.0,2015-06-01 02:01:07,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,1,1
91,364000.0,400400.0,278601.0,2015-06-01 05:01:09,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,2,0
92,364000.0,400400.0,278601.0,2015-06-01 07:01:05,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,3,0
93,364000.0,400400.0,301050.0,2015-06-01 09:01:07,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,4,1
94,364000.0,400400.0,301050.0,2015-06-01 11:01:08,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,5,0
95,364000.0,400400.0,315749.0,2015-06-01 13:01:09,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,6,1
96,364000.0,400400.0,330799.0,2015-06-01 15:01:05,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,7,1
97,364000.0,400400.0,338399.0,2015-06-01 17:01:06,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,8,1
98,364000.0,400400.0,338399.0,2015-06-01 19:01:07,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,9,0
99,364000.0,400400.0,346898.0,2015-06-01 22:01:09,P66,B5,MANSFIELD OIL CO OF GAINESVILL-10003000UB,HARTFORD IL PSX CLLC - 0394,Weekly,10,1
100,0.0,0.0,0.0,2015-06-01 02:01:07,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,1,1
101,0.0,0.0,0.0,2015-06-01 05:01:09,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,2,0
102,0.0,0.0,0.0,2015-06-01 07:01:05,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,3,0
103,0.0,0.0,0.0,2015-06-01 09:01:07,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,4,0
104,0.0,0.0,0.0,2015-06-01 11:01:08,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,5,0
105,0.0,0.0,0.0,2015-06-01 13:01:09,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,6,0
106,0.0,0.0,0.0,2015-06-01 15:01:05,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,7,0
107,0.0,0.0,0.0,2015-06-01 17:01:06,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,8,0
108,0.0,0.0,0.0,2015-06-01 19:01:07,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,9,0
109,0.0,0.0,0.0,2015-06-01 22:01:09,P66,Birmingham #7 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,10,0
110,0.0,0.0,0.0,2015-06-01 02:01:07,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,1,0
111,0.0,0.0,0.0,2015-06-01 05:01:09,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,2,0
112,0.0,0.0,0.0,2015-06-01 07:01:05,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,3,0
113,0.0,0.0,0.0,2015-06-01 09:01:07,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,4,0
114,0.0,0.0,0.0,2015-06-01 11:01:08,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,5,0
115,0.0,0.0,0.0,2015-06-01 13:01:09,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,6,0
116,0.0,0.0,0.0,2015-06-01 15:01:05,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,7,0
117,0.0,0.0,0.0,2015-06-01 17:01:06,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,8,0
118,0.0,0.0,0.0,2015-06-01 19:01:07,P66,Birmingham #9 Pre,UB RACK,BIRMINGHAM AL MMP - 032B,Weekly,9,0
